event_id,event_date,report_id,event_type,severity,stakeholder_group,estimated_impact,resolution_state,note
EVT0001,2026-01-27,RPT012,lineage ownership update,Medium,bottler finance leads,45229,In review,refresh evidence attached to operating review
EVT0002,2026-01-30,RPT025,performance review,Critical,category management,43335,In review,source owner confirmation needed
EVT0003,2026-03-18,RPT006,quality alert,High,bottler finance leads,49270,Open,metric definition requires clarification
EVT0004,2026-04-12,RPT025,stakeholder training ask,Low,category management,45894,Monitoring,quality exception tied to customer hierarchy mapping
EVT0005,2026-04-29,RPT028,refresh exception,Low,commercial leadership,2504,Resolved,source owner confirmation needed
EVT0006,2026-04-09,RPT016,refresh exception,Medium,commercial leadership,44341,Monitoring,refresh evidence attached to operating review
EVT0007,2026-02-16,RPT031,stakeholder training ask,Low,category management,51959,Monitoring,metric definition requires clarification
EVT0008,2026-02-16,RPT014,lineage ownership update,High,field sales operations,4086,Monitoring,refresh evidence attached to operating review
EVT0009,2026-04-12,RPT026,stakeholder training ask,Critical,field sales operations,1762,Resolved,training material should be refreshed
EVT0010,2026-03-28,RPT002,performance review,Low,field sales operations,43707,Open,training material should be refreshed
EVT0011,2026-04-16,RPT004,lineage ownership update,Low,commercial leadership,37139,In review,source owner confirmation needed
EVT0012,2026-04-10,RPT027,lineage ownership update,Medium,supply planning,24839,Open,quality exception tied to customer hierarchy mapping
EVT0013,2026-03-05,RPT003,definition question,Critical,supply planning,20532,Resolved,source owner confirmation needed
EVT0014,2026-04-29,RPT019,refresh exception,Medium,category management,18321,In review,refresh evidence attached to operating review
EVT0015,2026-03-11,RPT005,refresh exception,High,national customer team,2042,In review,quality exception tied to customer hierarchy mapping
EVT0016,2026-03-17,RPT003,stakeholder training ask,Low,supply planning,39293,Open,quality exception tied to customer hierarchy mapping
EVT0017,2026-04-24,RPT008,definition question,Medium,field sales operations,28270,Monitoring,quality exception tied to customer hierarchy mapping
EVT0018,2026-04-08,RPT017,refresh exception,Medium,national customer team,9977,Open,refresh evidence attached to operating review
EVT0019,2026-02-24,RPT029,lineage ownership update,Low,national customer team,8992,Monitoring,refresh evidence attached to operating review
EVT0020,2026-03-03,RPT029,definition question,Low,national customer team,46623,Open,training material should be refreshed
EVT0021,2026-05-05,RPT013,stakeholder training ask,High,category management,43253,In review,source owner confirmation needed
EVT0022,2026-05-04,RPT022,stakeholder training ask,High,commercial leadership,43446,In review,metric definition requires clarification
EVT0023,2026-01-26,RPT021,performance review,Medium,supply planning,37831,Monitoring,source owner confirmation needed
EVT0024,2026-04-04,RPT013,refresh exception,Medium,category management,29020,Monitoring,training material should be refreshed
EVT0025,2026-03-17,RPT028,definition question,Critical,commercial leadership,32131,Resolved,metric definition requires clarification
EVT0026,2026-01-29,RPT021,definition question,Medium,supply planning,18154,Monitoring,training material should be refreshed
EVT0027,2026-04-06,RPT013,quality alert,Critical,category management,1268,Open,metric definition requires clarification
EVT0028,2026-03-19,RPT004,lineage ownership update,Low,commercial leadership,51174,Open,metric definition requires clarification
EVT0029,2026-03-30,RPT032,refresh exception,Low,field sales operations,8780,Open,metric definition requires clarification
EVT0030,2026-05-02,RPT010,refresh exception,Medium,commercial leadership,16884,Resolved,source owner confirmation needed
EVT0031,2026-01-21,RPT026,lineage ownership update,Low,field sales operations,39001,Monitoring,training material should be refreshed
EVT0032,2026-04-20,RPT032,lineage ownership update,High,field sales operations,8656,Monitoring,refresh evidence attached to operating review
EVT0033,2026-04-02,RPT006,refresh exception,Critical,bottler finance leads,27168,Resolved,training material should be refreshed
EVT0034,2026-05-14,RPT018,lineage ownership update,Low,bottler finance leads,19595,In review,quality exception tied to customer hierarchy mapping
EVT0035,2026-04-25,RPT019,performance review,Critical,category management,48223,Open,refresh evidence attached to operating review
EVT0036,2026-02-05,RPT010,performance review,Medium,commercial leadership,31755,Monitoring,metric definition requires clarification
EVT0037,2026-02-02,RPT028,refresh exception,High,commercial leadership,18800,Open,metric definition requires clarification
EVT0038,2026-01-22,RPT025,performance review,Medium,category management,35489,Resolved,refresh evidence attached to operating review
EVT0039,2026-04-22,RPT023,definition question,Medium,national customer team,7165,Resolved,refresh evidence attached to operating review
EVT0040,2026-05-15,RPT026,definition question,Medium,field sales operations,13781,Monitoring,training material should be refreshed
EVT0041,2026-02-13,RPT023,lineage ownership update,Low,national customer team,36080,Open,metric definition requires clarification
EVT0042,2026-03-30,RPT015,definition question,Critical,supply planning,28110,Open,training material should be refreshed
EVT0043,2026-02-21,RPT020,quality alert,Medium,field sales operations,45084,Monitoring,metric definition requires clarification
EVT0044,2026-04-28,RPT025,performance review,Low,category management,41863,Open,quality exception tied to customer hierarchy mapping
EVT0045,2026-03-17,RPT022,definition question,Medium,commercial leadership,52181,Monitoring,quality exception tied to customer hierarchy mapping
EVT0046,2026-03-17,RPT020,stakeholder training ask,Medium,field sales operations,8060,In review,training material should be refreshed
EVT0047,2026-04-20,RPT012,lineage ownership update,Low,bottler finance leads,2053,In review,training material should be refreshed
EVT0048,2026-04-12,RPT011,stakeholder training ask,High,national customer team,11493,In review,training material should be refreshed
EVT0049,2026-04-22,RPT026,performance review,Low,field sales operations,21997,Open,metric definition requires clarification
EVT0050,2026-04-26,RPT008,stakeholder training ask,Critical,field sales operations,27626,Open,quality exception tied to customer hierarchy mapping
EVT0051,2026-01-25,RPT027,refresh exception,Low,supply planning,25978,Monitoring,training material should be refreshed
EVT0052,2026-03-25,RPT029,performance review,Medium,national customer team,47447,Resolved,metric definition requires clarification
EVT0053,2026-05-08,RPT024,stakeholder training ask,High,bottler finance leads,37399,In review,quality exception tied to customer hierarchy mapping
EVT0054,2026-04-01,RPT014,definition question,High,field sales operations,47235,Open,training material should be refreshed
EVT0055,2026-04-10,RPT019,definition question,Low,category management,46381,In review,quality exception tied to customer hierarchy mapping
EVT0056,2026-02-13,RPT026,lineage ownership update,Medium,field sales operations,50122,Resolved,refresh evidence attached to operating review
EVT0057,2026-04-07,RPT025,refresh exception,Low,category management,18074,Resolved,quality exception tied to customer hierarchy mapping
EVT0058,2026-01-25,RPT026,quality alert,Critical,field sales operations,53213,Resolved,metric definition requires clarification
EVT0059,2026-04-17,RPT012,lineage ownership update,Medium,bottler finance leads,6228,Resolved,metric definition requires clarification
EVT0060,2026-03-22,RPT002,refresh exception,Critical,field sales operations,40582,Open,quality exception tied to customer hierarchy mapping
EVT0061,2026-05-01,RPT003,definition question,Critical,supply planning,35041,Monitoring,source owner confirmation needed
EVT0062,2026-03-06,RPT005,refresh exception,Medium,national customer team,16846,Resolved,training material should be refreshed
EVT0063,2026-02-11,RPT005,lineage ownership update,Medium,national customer team,40711,Resolved,training material should be refreshed
EVT0064,2026-04-26,RPT018,refresh exception,Medium,bottler finance leads,14261,Monitoring,quality exception tied to customer hierarchy mapping
EVT0065,2026-02-27,RPT007,performance review,Critical,category management,50533,Resolved,metric definition requires clarification
EVT0066,2026-01-23,RPT023,stakeholder training ask,High,national customer team,15773,In review,source owner confirmation needed
EVT0067,2026-04-06,RPT013,definition question,Low,category management,43822,Open,refresh evidence attached to operating review
EVT0068,2026-03-18,RPT028,stakeholder training ask,High,commercial leadership,23092,Open,source owner confirmation needed
EVT0069,2026-02-13,RPT021,performance review,High,supply planning,32930,Monitoring,source owner confirmation needed
EVT0070,2026-03-11,RPT015,stakeholder training ask,Medium,supply planning,15439,Monitoring,source owner confirmation needed
EVT0071,2026-02-12,RPT018,definition question,Critical,bottler finance leads,19605,Open,training material should be refreshed
EVT0072,2026-05-06,RPT006,stakeholder training ask,Medium,bottler finance leads,11019,Resolved,refresh evidence attached to operating review
EVT0073,2026-04-20,RPT027,refresh exception,High,supply planning,34512,In review,training material should be refreshed
EVT0074,2026-03-14,RPT016,definition question,High,commercial leadership,6127,Monitoring,quality exception tied to customer hierarchy mapping
EVT0075,2026-04-19,RPT011,stakeholder training ask,High,national customer team,49996,Monitoring,refresh evidence attached to operating review
EVT0076,2026-01-27,RPT013,stakeholder training ask,Low,category management,18267,Monitoring,source owner confirmation needed
EVT0077,2026-03-24,RPT006,performance review,High,bottler finance leads,51393,Open,quality exception tied to customer hierarchy mapping
EVT0078,2026-02-28,RPT025,refresh exception,Low,category management,5224,In review,training material should be refreshed
EVT0079,2026-04-16,RPT027,lineage ownership update,Medium,supply planning,45558,Resolved,quality exception tied to customer hierarchy mapping
EVT0080,2026-05-06,RPT028,quality alert,Critical,commercial leadership,35297,In review,quality exception tied to customer hierarchy mapping
EVT0081,2026-03-22,RPT031,stakeholder training ask,Critical,category management,22727,Resolved,source owner confirmation needed
EVT0082,2026-02-17,RPT009,definition question,Critical,supply planning,51132,Open,training material should be refreshed
EVT0083,2026-02-03,RPT023,quality alert,Critical,national customer team,19061,Open,metric definition requires clarification
EVT0084,2026-03-14,RPT011,definition question,Critical,national customer team,23602,In review,quality exception tied to customer hierarchy mapping
EVT0085,2026-05-16,RPT015,performance review,Critical,supply planning,32570,Resolved,refresh evidence attached to operating review
EVT0086,2026-03-19,RPT012,definition question,High,bottler finance leads,23551,Resolved,source owner confirmation needed
EVT0087,2026-04-29,RPT015,definition question,Medium,supply planning,40852,Monitoring,training material should be refreshed
EVT0088,2026-03-03,RPT023,quality alert,Critical,national customer team,44237,Resolved,metric definition requires clarification
EVT0089,2026-04-17,RPT012,refresh exception,High,bottler finance leads,29907,Open,training material should be refreshed
EVT0090,2026-05-13,RPT017,definition question,Critical,national customer team,27264,Resolved,quality exception tied to customer hierarchy mapping
EVT0091,2026-04-08,RPT013,performance review,Low,category management,5660,Monitoring,refresh evidence attached to operating review
EVT0092,2026-05-06,RPT011,stakeholder training ask,Low,national customer team,19062,In review,quality exception tied to customer hierarchy mapping
EVT0093,2026-05-15,RPT022,performance review,Medium,commercial leadership,35243,Monitoring,source owner confirmation needed
EVT0094,2026-04-28,RPT023,performance review,Medium,national customer team,18987,Resolved,metric definition requires clarification
EVT0095,2026-02-05,RPT002,lineage ownership update,Critical,field sales operations,48176,In review,quality exception tied to customer hierarchy mapping
EVT0096,2026-02-28,RPT021,definition question,Medium,supply planning,53833,Resolved,source owner confirmation needed
EVT0097,2026-04-08,RPT010,definition question,Low,commercial leadership,20961,Monitoring,quality exception tied to customer hierarchy mapping
EVT0098,2026-04-19,RPT025,performance review,Low,category management,36541,Monitoring,refresh evidence attached to operating review
EVT0099,2026-05-13,RPT013,definition question,Medium,category management,33157,In review,training material should be refreshed
EVT0100,2026-05-03,RPT029,stakeholder training ask,Low,national customer team,8502,Resolved,refresh evidence attached to operating review
EVT0101,2026-02-13,RPT030,stakeholder training ask,Low,bottler finance leads,23572,Monitoring,source owner confirmation needed
EVT0102,2026-02-09,RPT026,refresh exception,Critical,field sales operations,15069,Monitoring,refresh evidence attached to operating review
EVT0103,2026-02-19,RPT006,performance review,Critical,bottler finance leads,14142,Open,training material should be refreshed
EVT0104,2026-04-19,RPT002,performance review,Medium,field sales operations,6139,Open,refresh evidence attached to operating review
EVT0105,2026-03-14,RPT028,performance review,Low,commercial leadership,29000,In review,training material should be refreshed
EVT0106,2026-04-09,RPT026,performance review,Critical,field sales operations,32625,Monitoring,metric definition requires clarification
EVT0107,2026-03-25,RPT005,quality alert,Medium,national customer team,21648,Monitoring,quality exception tied to customer hierarchy mapping
EVT0108,2026-02-05,RPT012,definition question,Critical,bottler finance leads,27730,Monitoring,refresh evidence attached to operating review
EVT0109,2026-04-17,RPT003,stakeholder training ask,Low,supply planning,26917,Monitoring,source owner confirmation needed
EVT0110,2026-03-27,RPT018,performance review,High,bottler finance leads,31363,In review,training material should be refreshed
EVT0111,2026-03-29,RPT030,definition question,Medium,bottler finance leads,13801,Resolved,metric definition requires clarification
EVT0112,2026-01-23,RPT004,lineage ownership update,Medium,commercial leadership,20357,Open,metric definition requires clarification
EVT0113,2026-02-19,RPT029,definition question,High,national customer team,18854,In review,training material should be refreshed
EVT0114,2026-05-06,RPT031,refresh exception,Low,category management,23866,Resolved,quality exception tied to customer hierarchy mapping
EVT0115,2026-05-09,RPT012,quality alert,Low,bottler finance leads,37727,Open,quality exception tied to customer hierarchy mapping
EVT0116,2026-01-30,RPT022,stakeholder training ask,Low,commercial leadership,52461,Open,refresh evidence attached to operating review
EVT0117,2026-03-16,RPT002,stakeholder training ask,Critical,field sales operations,44005,Monitoring,quality exception tied to customer hierarchy mapping
EVT0118,2026-05-05,RPT013,refresh exception,Medium,category management,7569,Monitoring,training material should be refreshed
EVT0119,2026-02-20,RPT021,lineage ownership update,Medium,supply planning,13859,Monitoring,training material should be refreshed
EVT0120,2026-03-05,RPT011,definition question,Low,national customer team,15808,Resolved,metric definition requires clarification
EVT0121,2026-04-18,RPT016,performance review,Medium,commercial leadership,49222,Open,source owner confirmation needed
EVT0122,2026-02-09,RPT007,definition question,High,category management,46951,Monitoring,refresh evidence attached to operating review
EVT0123,2026-04-28,RPT021,lineage ownership update,Low,supply planning,20351,Resolved,quality exception tied to customer hierarchy mapping
EVT0124,2026-03-21,RPT029,refresh exception,Medium,national customer team,7445,Monitoring,source owner confirmation needed
EVT0125,2026-03-15,RPT024,lineage ownership update,Medium,bottler finance leads,25428,In review,metric definition requires clarification
EVT0126,2026-01-28,RPT003,definition question,Medium,supply planning,22810,Resolved,training material should be refreshed
EVT0127,2026-05-02,RPT025,quality alert,Critical,category management,32056,In review,refresh evidence attached to operating review
EVT0128,2026-02-19,RPT028,stakeholder training ask,High,commercial leadership,45047,Resolved,training material should be refreshed
EVT0129,2026-01-23,RPT008,performance review,Critical,field sales operations,13913,In review,refresh evidence attached to operating review
EVT0130,2026-04-27,RPT029,quality alert,Medium,national customer team,42734,Open,refresh evidence attached to operating review
EVT0131,2026-02-24,RPT002,quality alert,High,field sales operations,10822,In review,source owner confirmation needed
EVT0132,2026-04-08,RPT006,quality alert,High,bottler finance leads,30487,Resolved,metric definition requires clarification
EVT0133,2026-01-26,RPT022,stakeholder training ask,Critical,commercial leadership,36687,In review,source owner confirmation needed
EVT0134,2026-03-25,RPT014,stakeholder training ask,Medium,field sales operations,8976,Open,metric definition requires clarification
EVT0135,2026-02-16,RPT002,lineage ownership update,Medium,field sales operations,48601,In review,quality exception tied to customer hierarchy mapping
EVT0136,2026-02-02,RPT003,definition question,Low,supply planning,52383,Resolved,quality exception tied to customer hierarchy mapping
EVT0137,2026-02-27,RPT023,stakeholder training ask,Critical,national customer team,6352,Monitoring,quality exception tied to customer hierarchy mapping
EVT0138,2026-04-22,RPT004,performance review,Critical,commercial leadership,34810,Open,metric definition requires clarification
EVT0139,2026-02-28,RPT003,performance review,Low,supply planning,1601,Resolved,training material should be refreshed
EVT0140,2026-03-27,RPT027,refresh exception,Low,supply planning,53881,In review,source owner confirmation needed
EVT0141,2026-02-16,RPT018,quality alert,Critical,bottler finance leads,1263,Resolved,refresh evidence attached to operating review
EVT0142,2026-02-14,RPT017,quality alert,Low,national customer team,49393,Open,source owner confirmation needed
EVT0143,2026-02-23,RPT023,lineage ownership update,High,national customer team,41796,In review,quality exception tied to customer hierarchy mapping
EVT0144,2026-04-27,RPT006,performance review,Critical,bottler finance leads,40209,Open,quality exception tied to customer hierarchy mapping
EVT0145,2026-05-07,RPT025,lineage ownership update,Low,category management,40670,Open,metric definition requires clarification
EVT0146,2026-02-26,RPT025,refresh exception,Critical,category management,43368,Monitoring,training material should be refreshed
EVT0147,2026-01-22,RPT009,definition question,High,supply planning,36722,In review,refresh evidence attached to operating review
EVT0148,2026-05-15,RPT002,lineage ownership update,Low,field sales operations,6084,Monitoring,quality exception tied to customer hierarchy mapping
EVT0149,2026-02-02,RPT001,refresh exception,High,category management,44560,In review,refresh evidence attached to operating review
EVT0150,2026-04-09,RPT002,stakeholder training ask,High,field sales operations,14976,Resolved,training material should be refreshed
EVT0151,2026-04-13,RPT013,definition question,Critical,category management,14803,In review,source owner confirmation needed
EVT0152,2026-05-08,RPT001,lineage ownership update,Critical,category management,3387,Open,training material should be refreshed
EVT0153,2026-03-03,RPT013,quality alert,Low,category management,24715,In review,metric definition requires clarification
EVT0154,2026-03-16,RPT023,performance review,Medium,national customer team,21402,Open,training material should be refreshed
EVT0155,2026-01-25,RPT032,definition question,Critical,field sales operations,19305,Resolved,training material should be refreshed
EVT0156,2026-02-01,RPT023,performance review,Critical,national customer team,38566,In review,metric definition requires clarification
EVT0157,2026-01-24,RPT019,definition question,Critical,category management,50792,Resolved,source owner confirmation needed
EVT0158,2026-05-16,RPT006,performance review,Medium,bottler finance leads,25422,In review,quality exception tied to customer hierarchy mapping
EVT0159,2026-04-10,RPT007,refresh exception,Medium,category management,34826,Open,refresh evidence attached to operating review
EVT0160,2026-03-24,RPT026,stakeholder training ask,Low,field sales operations,42125,Resolved,metric definition requires clarification
EVT0161,2026-03-25,RPT005,definition question,Critical,national customer team,35976,Open,training material should be refreshed
EVT0162,2026-04-07,RPT013,definition question,Medium,category management,39860,Open,source owner confirmation needed
EVT0163,2026-03-02,RPT010,lineage ownership update,High,commercial leadership,32923,In review,quality exception tied to customer hierarchy mapping
EVT0164,2026-02-13,RPT003,stakeholder training ask,Low,supply planning,15247,Monitoring,refresh evidence attached to operating review
EVT0165,2026-04-26,RPT014,refresh exception,Medium,field sales operations,4591,Resolved,quality exception tied to customer hierarchy mapping
EVT0166,2026-04-02,RPT027,performance review,High,supply planning,35236,Resolved,metric definition requires clarification
EVT0167,2026-03-19,RPT004,definition question,Critical,commercial leadership,37324,Open,metric definition requires clarification
EVT0168,2026-01-22,RPT017,performance review,High,national customer team,46509,Open,training material should be refreshed
EVT0169,2026-03-01,RPT001,refresh exception,Low,category management,37477,Open,metric definition requires clarification
EVT0170,2026-01-29,RPT025,stakeholder training ask,Low,category management,1354,Open,training material should be refreshed
EVT0171,2026-02-27,RPT023,performance review,Low,national customer team,48630,In review,metric definition requires clarification
EVT0172,2026-03-25,RPT017,refresh exception,Low,national customer team,48722,Resolved,training material should be refreshed
EVT0173,2026-03-01,RPT011,definition question,Medium,national customer team,47056,Monitoring,metric definition requires clarification
EVT0174,2026-05-07,RPT021,definition question,Critical,supply planning,6332,Resolved,training material should be refreshed
EVT0175,2026-05-19,RPT007,quality alert,Critical,category management,5213,Open,source owner confirmation needed
EVT0176,2026-04-14,RPT013,quality alert,Low,category management,23044,In review,quality exception tied to customer hierarchy mapping
EVT0177,2026-02-02,RPT017,stakeholder training ask,Critical,national customer team,8382,Open,source owner confirmation needed
EVT0178,2026-03-26,RPT020,quality alert,Medium,field sales operations,17616,Open,quality exception tied to customer hierarchy mapping
EVT0179,2026-04-25,RPT026,definition question,Medium,field sales operations,45552,Monitoring,source owner confirmation needed
EVT0180,2026-02-04,RPT009,stakeholder training ask,Critical,supply planning,48015,Resolved,quality exception tied to customer hierarchy mapping
EVT0181,2026-05-17,RPT006,performance review,Low,bottler finance leads,1320,Open,source owner confirmation needed
EVT0182,2026-04-20,RPT011,quality alert,Medium,national customer team,46812,Open,source owner confirmation needed
EVT0183,2026-03-19,RPT027,lineage ownership update,Critical,supply planning,23302,Resolved,refresh evidence attached to operating review
EVT0184,2026-05-15,RPT030,quality alert,Medium,bottler finance leads,15709,In review,refresh evidence attached to operating review
EVT0185,2026-02-01,RPT020,definition question,Medium,field sales operations,21338,Resolved,refresh evidence attached to operating review
EVT0186,2026-02-11,RPT011,lineage ownership update,Low,national customer team,50349,Monitoring,training material should be refreshed
EVT0187,2026-03-01,RPT004,quality alert,Low,commercial leadership,23661,Resolved,source owner confirmation needed
EVT0188,2026-02-09,RPT018,lineage ownership update,Low,bottler finance leads,29773,In review,refresh evidence attached to operating review
EVT0189,2026-03-03,RPT010,stakeholder training ask,Critical,commercial leadership,12939,Open,source owner confirmation needed
EVT0190,2026-02-12,RPT032,stakeholder training ask,High,field sales operations,9215,Open,training material should be refreshed
EVT0191,2026-05-17,RPT006,definition question,Critical,bottler finance leads,38723,Open,training material should be refreshed
EVT0192,2026-03-04,RPT022,refresh exception,High,commercial leadership,40059,Resolved,training material should be refreshed
EVT0193,2026-04-09,RPT011,stakeholder training ask,High,national customer team,17375,Resolved,metric definition requires clarification
EVT0194,2026-02-01,RPT009,stakeholder training ask,Medium,supply planning,9602,Resolved,metric definition requires clarification
EVT0195,2026-04-29,RPT017,lineage ownership update,Critical,national customer team,43346,In review,quality exception tied to customer hierarchy mapping
EVT0196,2026-04-14,RPT004,quality alert,Low,commercial leadership,11352,Open,refresh evidence attached to operating review
EVT0197,2026-03-10,RPT012,definition question,Low,bottler finance leads,44045,In review,training material should be refreshed
EVT0198,2026-01-24,RPT010,definition question,High,commercial leadership,33354,Open,metric definition requires clarification
EVT0199,2026-02-26,RPT007,definition question,Critical,category management,10190,Resolved,metric definition requires clarification
EVT0200,2026-02-16,RPT004,refresh exception,Medium,commercial leadership,19591,Open,metric definition requires clarification
EVT0201,2026-01-21,RPT002,refresh exception,Low,field sales operations,15023,Open,training material should be refreshed
EVT0202,2026-02-27,RPT028,definition question,Medium,commercial leadership,6682,Resolved,metric definition requires clarification
EVT0203,2026-04-12,RPT030,stakeholder training ask,Low,bottler finance leads,25534,Resolved,quality exception tied to customer hierarchy mapping
EVT0204,2026-04-24,RPT009,quality alert,Critical,supply planning,32280,Open,metric definition requires clarification
EVT0205,2026-01-26,RPT028,performance review,High,commercial leadership,38120,Monitoring,refresh evidence attached to operating review
EVT0206,2026-04-08,RPT031,lineage ownership update,Critical,category management,46802,In review,training material should be refreshed
EVT0207,2026-04-15,RPT026,lineage ownership update,Critical,field sales operations,43665,Resolved,source owner confirmation needed
EVT0208,2026-02-16,RPT005,definition question,Low,national customer team,30549,Monitoring,training material should be refreshed
EVT0209,2026-03-18,RPT025,quality alert,Critical,category management,47504,Monitoring,metric definition requires clarification
EVT0210,2026-04-02,RPT014,stakeholder training ask,Low,field sales operations,3825,Monitoring,source owner confirmation needed
EVT0211,2026-04-08,RPT007,definition question,Critical,category management,21789,Open,training material should be refreshed
EVT0212,2026-02-05,RPT012,refresh exception,Low,bottler finance leads,5528,In review,refresh evidence attached to operating review
EVT0213,2026-04-23,RPT001,definition question,Medium,category management,9627,Resolved,quality exception tied to customer hierarchy mapping
EVT0214,2026-02-19,RPT015,performance review,Medium,supply planning,14977,Open,training material should be refreshed
EVT0215,2026-02-16,RPT015,refresh exception,Critical,supply planning,6074,Monitoring,refresh evidence attached to operating review
EVT0216,2026-02-28,RPT031,performance review,High,category management,28287,Monitoring,source owner confirmation needed
EVT0217,2026-02-03,RPT032,refresh exception,High,field sales operations,5652,Open,source owner confirmation needed
EVT0218,2026-03-24,RPT024,lineage ownership update,Critical,bottler finance leads,9613,In review,quality exception tied to customer hierarchy mapping
EVT0219,2026-05-16,RPT004,quality alert,Critical,commercial leadership,8896,Resolved,training material should be refreshed
EVT0220,2026-01-21,RPT026,quality alert,Critical,field sales operations,20954,In review,metric definition requires clarification
EVT0221,2026-05-11,RPT026,quality alert,High,field sales operations,23411,Resolved,refresh evidence attached to operating review
EVT0222,2026-03-18,RPT014,refresh exception,High,field sales operations,31457,Monitoring,training material should be refreshed
EVT0223,2026-03-27,RPT002,performance review,Low,field sales operations,24594,Monitoring,source owner confirmation needed
EVT0224,2026-05-13,RPT005,stakeholder training ask,High,national customer team,42627,Resolved,training material should be refreshed
EVT0225,2026-01-27,RPT004,quality alert,Critical,commercial leadership,18268,Resolved,metric definition requires clarification
EVT0226,2026-02-28,RPT018,quality alert,Critical,bottler finance leads,41008,In review,refresh evidence attached to operating review
EVT0227,2026-03-15,RPT025,refresh exception,High,category management,21487,Monitoring,refresh evidence attached to operating review
EVT0228,2026-02-04,RPT008,lineage ownership update,Low,field sales operations,27880,Open,quality exception tied to customer hierarchy mapping
EVT0229,2026-04-24,RPT011,stakeholder training ask,Critical,national customer team,43445,In review,training material should be refreshed
EVT0230,2026-03-20,RPT029,definition question,Critical,national customer team,29914,Resolved,training material should be refreshed
EVT0231,2026-03-20,RPT009,quality alert,Medium,supply planning,43288,Open,quality exception tied to customer hierarchy mapping
EVT0232,2026-03-01,RPT007,stakeholder training ask,Critical,category management,22636,Resolved,source owner confirmation needed
EVT0233,2026-05-01,RPT014,definition question,High,field sales operations,42348,Resolved,training material should be refreshed
EVT0234,2026-04-06,RPT029,stakeholder training ask,Low,national customer team,48640,Monitoring,quality exception tied to customer hierarchy mapping
EVT0235,2026-03-21,RPT004,stakeholder training ask,Low,commercial leadership,21433,Resolved,training material should be refreshed
EVT0236,2026-01-23,RPT014,refresh exception,Low,field sales operations,32980,In review,source owner confirmation needed
EVT0237,2026-02-02,RPT017,quality alert,Critical,national customer team,12477,Resolved,quality exception tied to customer hierarchy mapping
EVT0238,2026-02-02,RPT012,performance review,Medium,bottler finance leads,38863,Resolved,refresh evidence attached to operating review
EVT0239,2026-04-18,RPT029,quality alert,High,national customer team,4625,Resolved,training material should be refreshed
EVT0240,2026-04-30,RPT022,performance review,Medium,commercial leadership,22598,Open,refresh evidence attached to operating review
EVT0241,2026-02-25,RPT031,performance review,High,category management,29450,Resolved,metric definition requires clarification
EVT0242,2026-02-28,RPT026,quality alert,High,field sales operations,15357,Monitoring,training material should be refreshed
EVT0243,2026-03-25,RPT010,performance review,Medium,commercial leadership,52456,In review,source owner confirmation needed
EVT0244,2026-02-05,RPT012,refresh exception,High,bottler finance leads,5973,Open,refresh evidence attached to operating review
EVT0245,2026-05-15,RPT019,lineage ownership update,Critical,category management,3950,Monitoring,metric definition requires clarification
EVT0246,2026-03-04,RPT025,quality alert,Low,category management,46194,Open,training material should be refreshed
EVT0247,2026-03-14,RPT030,refresh exception,Critical,bottler finance leads,30783,In review,refresh evidence attached to operating review
EVT0248,2026-03-08,RPT011,refresh exception,Low,national customer team,38789,In review,metric definition requires clarification
EVT0249,2026-04-24,RPT008,lineage ownership update,High,field sales operations,26740,In review,metric definition requires clarification
EVT0250,2026-03-08,RPT004,performance review,Low,commercial leadership,28887,Resolved,source owner confirmation needed
EVT0251,2026-05-14,RPT026,lineage ownership update,Critical,field sales operations,42380,Open,training material should be refreshed
EVT0252,2026-02-23,RPT017,performance review,High,national customer team,9497,In review,refresh evidence attached to operating review
